345|5|news bias|3899865
345|5|news bias|6208392
365|5|comparison　article|28454618
373|5|newspaper method|14087249
373|5|newspaper method|32006811
385|5|category article|51135869
40|6|Named Entity news analysis|5438883
40|6|Named Entity news analysis|4468642
45|6|Named Entity news analysis agree disagree|39294063
55|6|Named Entity news analysis  clustering|4321419
55|6|Named Entity news analysis  clustering|4455807
55|6|Named Entity news analysis  clustering|39294023
55|6|Named Entity news analysis  clustering|56995053
60|6|News analysis clustering opinion|5524540
63|6|News analysis clustering positive negative|4245104
66|6|News analysis opinion|5031571
76|6|News opinion mining Named entity pros cons|50739063
92|6|opinion news mining|50827543
142|7|cause and effect text mining|12636926
142|7|cause and effect text mining|4185232
142|7|cause and effect text mining|39259902
144|7|event structure mining cause and effect|6947249
144|7|event structure mining cause and effect|12636926
144|7|event structure mining cause and effect|1653107
144|7|event structure mining cause and effect|50899838
145|7|Dependency parsing cause and effect|13332334
146|7|Dependency parsing cause and effect text mining|39199602
149|7|Dependency parsing  mining news analysis|4560864
150|7|SVO structure named entity news|50767815
152|7|SVO named entity news association mining|581548
152|7|SVO named entity news association mining|2457350
153|7|SVO named entity cause and effect|12890938
155|7|cause mining news named entity|4415937
155|7|cause mining news named entity|902785
157|7|SVO structuring|6489925
158|7|SVO structuring news article text mining|48816225
158|7|SVO structuring news article text mining|1775213
158|7|SVO structuring news article text mining|2461400
158|7|SVO structuring news article text mining|2509705
159|7|news relation maining|50961720
160|7|news  article relation maining|61406254
160|7|news  article relation maining|2326490
160|7|news  article relation maining|50290388
162|7|news  article relation mining cause and effect|13494044
192|8|search related event|1840312
202|8|search related news article|43550001
204|8|search related news article|39226255
204|8|search related news article|893971
204|8|search related news article|13493986
204|8|search related news article|4237045
206|8|search related news article|56918319
209|8|extract named entity news article|13276569
209|8|extract named entity news article|39245992
209|8|extract named entity news article|6030569
209|8|extract named entity news article|12304773
211|8|extract named entity news article|917144
211|8|extract named entity news article|1774344
211|8|extract named entity news article|2286179
211|8|extract named entity news article|13324370
213|8|causal mining news article|56921761
213|8|causal mining news article|51191
213|8|causal mining news article|626543
215|8|causal news article|4510821
215|8|causal news article|57699058
215|8|causal news article|6045389
217|8|causal news article|39799205
217|8|causal news article|4706349
220|8|cause effect news article|53177354
221|9|privacy movement information|50740049
221|9|privacy movement information|13320929
221|9|privacy movement information|50776912
222|9|privacy movement information|4299738
222|9|privacy movement information|6952399
222|9|privacy movement information|47933709
222|9|privacy movement information|5135096
222|9|privacy movement information|11977576
223|9|privacy movement information|6034633
223|9|privacy movement information|4684150
223|9|privacy movement information|2177708
224|9|privacy movement information|6030423
224|9|privacy movement information|39246145
224|9|privacy movement information|4299758
224|9|privacy movement information|13984596
225|9|privacy movement information|2431994
226|9|privacy mobility information|50697556
229|9|privacy mobility|1830364
229|9|privacy mobility|102695
230|9|privacy mobility|4981453
231|9|privacy user movement|4707002
231|9|privacy user movement|4729949
231|9|privacy user movement|1866678
232|9|privacy user movement|51082137
232|9|privacy user movement|39266147
232|9|privacy user movement|39219914
248|10|News named entity|5438883
249|10|News named entity contents|5022615
251|10|News named entity sentimental|50910282
252|10|News named entity polarity|6627803
254|10|News article named entity polarity|4683762
256|10|News article Analysis named entity polarity|39294023
256|10|News article Analysis named entity polarity|4507227
256|10|News article Analysis named entity polarity|1774344
257|10|News article Analysis named entity polarity|13264550
258|10|News article Analysis named entity polarity|57515799
258|10|News article Analysis named entity polarity|47773808
